NAME,EBIT(t-1),PB(t-1),QR(t-1),DA(t-1),TATO(t-1),ROS(t-1),OCFTD(t-1),EBIT(t-2),PB(t-2),QR(t-2),DA(t-2),TATO(t-2),ROS(t-2),OCFTD(t-2)
DRC,405.23,0.61,0.5,44.12,1.49,6.27,1.88,373.36,2.19,0.5,43.43,1.57,6.64,-4.98
DRH,86.96,0.61,0.64,57.92,0.02,1.65,-25.19,69.07,1.98,0.45,68.49,0.03,17.67,-0.14
DRL,77.53,0.61,5.28,13,0.85,54.64,364.44,62.91,5.07,7.63,9.16,0.68,58.83,433.02
DSN,135.75,0.61,8.23,11.48,0.96,46.4,315.2,28.97,3.35,10.69,8.84,0.12,96.04,81.64
DTA,-14.01,0.61,0.23,72.98,0.18,6.65,-7.14,17.2,2.16,0.61,71,0.18,9.16,2.14
DTL,-70.7,0.61,0.39,60.16,0.76,-7.83,-54.42,93.63,2.56,0.22,43.61,0.64,4.07,59.98
DTT,12.78,0.61,1.53,22.47,1.17,4.89,51.52,6.01,1.16,1.35,20.24,0.98,2.21,13.52
DVP,345.06,0.61,10.51,7.68,0.39,48.45,162.13,339.3,1.76,9.18,8.43,0.42,45.54,185.54
DXG,1229.58,0.61,1.06,54.44,0.19,8.4,-23.12,2983.99,1.56,1.06,52.64,0.39,15.81,8.24
DXS,789.14,0.61,1.57,49.79,0.26,13.06,-28.92,1277.11,1.72,1.74,48.75,0.33,20.18,-11.85
DXV,0.2,0.61,3.73,19.27,1.67,0.09,-9.92,2.13,0.75,4.68,14.65,1.48,0.2,-37.97
ELC,47.06,0.63,3.11,20.39,0.75,4.31,-43.72,62.47,1.51,2.76,24.18,0.5,7.63,-35.16
EMC,13.74,1.19,0.55,76.17,1.07,0.07,11.4,10.65,1.62,0.6,77.96,1.04,0.43,-22.53
EVE,123.55,0.58,2.22,29.42,0.75,9.03,12.2,95.85,0.7,2.28,24.02,0.66,6.9,-17.25
EVG,34.39,0.27,5.71,8.06,0.53,2.12,-83.74,29.99,1.48,3.34,22.87,0.63,2.46,-73.22
FCM,35.74,0.28,2.25,31.07,0.72,3.6,17.03,25.53,0.96,2.13,29.92,0.74,2.23,22.28
FCN,290.26,0.43,1.14,54.23,0.4,1.69,-5.1,255.49,1.18,1.01,60.92,0.49,2.03,-2.42
FDC,-197.6,1.78,0.36,27.48,0.02,-1147.66,42.69,22.98,0.99,3.55,20.15,0.21,5.09,5.96
FIR,165.93,2.92,1.73,44.56,0.4,29.8,-50.38,52.29,2.68,1.9,36.03,0.33,20.18,-20.49
FIT,173.95,0.21,4.42,16.42,0.3,3.69,-42.89,322.12,0.92,2.87,21.46,0.22,18.96,-0.68
FMC,345.67,1,1.1,29.2,2,5.63,49.87,303.42,1.72,1.7,26.78,2.36,5.52,24.67
FPT,8308.01,3.33,1.18,50.91,0.84,14.75,19.22,6821.2,3.94,1.13,60.11,0.75,15,18.09
FRT,717.15,3.99,0.34,80.53,2.83,1.32,-17.79,686.37,4.71,0.58,84.43,2.78,1.97,-16.19
GAB,0.94,18.21,1.84,33.23,0.69,-1.46,65.52,6.01,16.6,1.33,43.7,1.64,0.44,-40.35
GAS,19143.14,3.18,4.13,26,1.25,14.96,59.53,11509.14,3.53,2.91,33.74,1.11,11.21,28.58
GDT,88.7,2.32,1.84,27.5,1.02,17.33,0.91,77.29,4.22,1.21,30.34,0.87,17.95,29.72
GEG,993.67,0.91,0.95,67.11,0.14,17.7,-1.67,752.5,1.91,1.33,70.03,0.14,23.56,29.11
GEX,3443.77,0.5,0.62,59.83,0.57,4.77,25.26,3182.03,1.69,0.8,66.5,0.65,5.83,-6.18
GIL,480.16,0.5,1.68,37.03,0.82,11.41,-6.77,449.57,1.72,1.15,57.24,1.28,7.97,5.31
GMC,-70.93,0.7,4.56,14.96,0.42,-22.53,57.44,58.55,1.25,5.13,15.08,1.04,4.09,118.03
GMD,1439.03,1.72,0.78,39.78,0.33,29.55,44.46,925.47,2.02,0.72,34.35,0.31,22.47,26.17
GSP,128.43,0.7,1.46,50.75,1.32,4.4,24.07,79.55,1.34,1.58,49.37,1.5,3.44,6.19
GTA,24.1,0.73,1.32,56.74,1.16,2.1,9.65,30.7,1.03,1.15,64.22,1.05,3.07,-11.16
GVR,6238.5,1.04,1.89,31.85,0.32,18.95,8.16,6820.77,2.85,1.78,34.26,0.33,20.39,14.48
HAG,1870.39,1.62,0.79,73.73,0.26,23.23,-1.4,841.27,2.64,0.98,74.66,0.08,6.08,-4.65
HAH,1329.58,0.79,1.83,42.83,0.77,32.47,59.87,694.45,1.74,2,41.16,0.73,28.16,59.39
HAI,55.47,0.16,2.67,28.74,0.08,11.56,-2.57,28.18,0.69,3.66,21.58,0.22,1.12,5.84
HAP,23.28,0.37,9.4,5.72,0.58,1.08,-373.56,54.42,1.2,4.76,9.62,0.62,8.37,-20.47
HAR,-26.02,0.32,2.99,7.97,0.1,-37.08,222.3,58.76,1.27,2.68,14.7,0.03,83.32,-3.45
HAS,2.84,0.4,2.14,35.98,0.69,0.28,35.23,7.17,0.66,2.83,30.13,0.98,1.49,-14.58
HAX,329.28,0.96,0.37,62.43,3.51,3.54,-41.3,219.52,2.04,0.63,44.41,4.42,2.88,59.22
HBC,-581.89,0.96,1.01,84.38,0.84,-8.08,-5.91,447.6,1.81,1.07,75.53,0.71,0.85,4.5
