NAME,EBIT(t-1),PB(t-1),QR(t-1),DA(t-1),TATO(t-1),ROS(t-1),OCFTD(t-1),EBIT(t-2),PB(t-2),QR(t-2),DA(t-2),TATO(t-2),ROS(t-2),OCFTD(t-2)
SFC,27.29,1.26,2.68,23.2,6.04,1.39,71.95,30.44,1.59,1.95,27.56,2.44,3.23,-37.49
SFG,87.58,0.74,0.64,43.19,1.6,2.24,43.22,64.8,1.53,0.69,59.14,1.7,1.73,0.74
SFI,267.32,0.94,2.55,22.13,1.79,12.43,11.67,216.09,1.61,2.2,33.58,2.26,9.45,0.51
SGN,172.36,2.44,4.21,19.94,0.99,13.65,88.18,58.53,2.9,5.67,12.6,0.49,8.65,159.02
SGR,288.94,0.91,1.07,55.98,0.33,33,30.36,89.34,2.88,0.79,65.09,0.09,27.03,12.1
SGT,210.02,1.19,0.91,65.73,0.29,7.23,-0.01,128.3,2.48,0.97,76.4,0.2,10.12,-2.65
SHA,53.18,0.32,0.63,61.3,1.11,1.65,-4.06,45.77,0.74,0.68,57.52,1.01,1.92,-10.73
SHI,375.37,1.23,0.81,73.23,1.2,1.1,-7.02,331.06,1.15,0.75,76.9,1.36,1.93,-5.06
SHP,393.46,1.85,1.84,18.19,0.41,43.03,148.32,321.11,1.82,1.11,27.06,0.36,40.31,84.96
SII,-8.26,0.75,0.27,41.96,0.1,-38.42,-1.24,14.69,0.76,0.21,41.7,0.08,-38.58,-3.69
SJD,207.51,0.94,7.85,23.6,0.32,33.88,73.86,213.34,1.51,4.01,31.27,0.32,37.62,-2.22
SJF,6.01,0.31,3.34,19.97,0.15,-4.74,54.58,31.02,1.13,2.14,27.17,0.43,3.6,57
SJS,176.35,2.01,0.1,62.01,0.06,31.76,-15.66,133.15,4.25,0.19,68.34,0.11,11.27,-8.39
SKG,47.91,1.08,30.37,1.46,0.49,10.83,743.4,-38.54,1.38,24.59,1.3,0.2,-23.06,80.94
SMA,45.75,0.68,0.17,41.28,0.21,34.7,4.92,36.41,1.04,0.11,51.68,0.19,26.74,18.6
SMB,236.05,2.19,0.88,38,1.45,13.32,34.56,202.35,2.3,0.85,40.87,1.37,13.32,76.28
SMC,-350.02,0.41,0.79,79.31,2.67,-2.81,6.06,1264.41,1.1,0.73,73.14,2.71,4.23,-11.42
SPM,42.86,0.24,3.19,25.3,0.66,3.52,16.77,37.66,0.36,2.95,26.45,0.67,2.84,2.02
SRC,51.62,1.16,0.4,64.71,0.74,3.03,8.68,63.32,1.39,0.43,64.98,0.72,4.19,20.31
SRF,-88.02,0.82,0.91,75.21,0.66,-11.92,9,74.4,0.99,0.84,69.04,0.49,3.69,0.73
SSC,63.74,1,1.89,28.04,0.58,16.87,22.85,65.91,1.41,2.02,27.37,0.62,17.54,48.5
SSI,3140.35,1.18,0,57.14,0.12,26.8,-23.95,4394.9,3.58,0,72,0.17,36.21,-28.49
ST8,255.12,0.76,5.82,17.19,0.87,60,-125.82,20.39,1.1,1.55,30.89,1.56,1.85,-25.39
STG,327.29,1.85,1.81,24.17,0.96,9.76,43.72,317.63,1.51,1.56,29.77,1.15,8.54,32.48
STK,278.59,1.46,1.26,27.48,1.03,11.46,36.28,291.06,3.07,0.72,36.13,1.11,13.63,40.74
SVC,786.6,0.78,0.51,60.05,4.03,2.75,-0.82,334.75,1.88,0.52,57.78,3.27,1.49,-5.32
SVD,14.86,0.29,1.18,35.95,0.84,-0.7,-7.32,334.75,0.87,0.78,57.84,1.09,2.68,19.24
SVI,153.55,1.08,1.54,40.31,1.58,6.21,44.27,121.34,1.42,1.24,45.36,1.63,5.01,22.92
SVT,25.79,0.77,52.26,0.64,0.84,14.94,-2375.99,35.49,1.12,38.87,0.68,0.6,31.28,1318.92
SZC,276.38,1.71,0.25,75.78,0.14,22.98,13.29,403.88,4.64,0.27,73.91,0.14,45.38,16.95
SZL,119.57,1.46,2.46,69.83,0.22,24.18,12.96,124.02,2,2.24,64.94,0.23,26.08,9.3
TBC,468.94,1.36,3.18,13.81,0.46,52.17,195.58,270.79,1.57,2.09,22.77,0.31,42.3,87.98
TCD,586.75,0.39,1.29,63.23,0.38,11.34,-53.39,497.45,1.72,0.97,78,0.52,10.79,2.76
TCL,154.32,1.75,1.79,31.99,1.59,9.21,58.5,141.92,2.08,1.54,34.74,1.29,9.57,-6.26
TCM,381.34,2.19,0.69,43.09,1.22,6.48,16.79,197.72,2.72,0.51,52.62,1.07,4.06,-4.7
TCO,46.37,0.45,44.14,2.25,3.95,2.76,-97.02,55,1.4,5.44,17.95,0.81,19.29,-140.45
TCR,15.29,0.33,0.55,50.28,1.14,0.09,10.92,23.12,0.75,0.54,51.86,0.99,1.13,5.18
TCT,36.23,1.37,13.61,6.92,0.2,45.44,70.35,1.95,1.63,25.08,3.74,0.11,4.59,38.62
TDC,332.16,0.83,0.57,68.19,0.55,1.4,7.1,329.07,2.19,0.22,75.57,0.3,7.5,-1.1
TDG,34.21,0.27,0.69,60.93,2.27,0.86,-21.43,32.65,0.91,0.89,62.45,2.87,1.08,-3.39
TDH,39.14,0.69,0.65,68.19,0.11,17,-17.75,-766.41,2.41,0.63,66.3,0.13,-182.77,-17.13
TDM,252.35,1.81,0.94,15.12,0.2,46.02,32.84,365.79,1.9,0.59,23.22,0.17,78.8,61.84
TDP,283.18,2.7,0.61,75.5,1.07,2.89,-3.49,218.32,2.19,0.51,73.7,1.07,3.56,0.52
TDW,56.79,1.73,0.91,52.84,2.98,3.49,51.5,44.26,1.76,0.92,52.81,2.51,3.08,-3.72
TEG,68.17,0.56,2.53,21.95,0.18,21.08,31.39,64.38,1.05,2.07,25.01,0.28,18.76,-62.89
TGG,-29.87,0.27,1.38,24.14,0.87,-6.42,128.2,118.05,1.2,1.09,49.83,1.46,12.28,-0.34
THG,192.85,1.22,0.68,65.28,0.97,8.73,2.84,175.77,2.49,0.67,65.89,0.88,9.75,9.9
THI,116.73,0.95,1.06,41.6,0.57,2.83,11.23,203.21,0.94,0.71,55.51,0.74,3.87,8.21
TIP,112.4,0.68,13.44,14.71,0.15,46.47,-349.49,125.41,1.8,6.03,27.72,0.25,37.52,61.75
TIX,138.17,1.24,3.75,30.09,0.19,48.11,38.48,146.6,1.26,4.07,31.81,0.23,44.28,19.23
TLD,22.49,0.28,2.51,23.87,0.65,2.71,-134.19,25.76,1.13,1.65,27.06,0.66,4.41,15.64
TLG,515.55,2.03,1.47,31.76,1.32,11.39,31.74,365.58,1.94,2.03,25.37,1.12,10.37,35.64
TLH,123.47,0.34,0.29,54.51,1.27,0.14,-8.3,603.95,1.09,0.36,54.27,1.33,9.82,-18.8
TMP,742.71,2.05,4.94,26.43,0.5,54.2,88.33,463.23,2.57,4.83,29.55,0.37,48.1,59.62
TMS,836.33,1.52,2.08,25.76,0.64,19.9,-39.2,750.8,2.01,1.47,39.14,1.32,9.73,0.64
TMT,150.31,0.8,0.2,87.76,0.91,1.66,1.81,96.37,1.55,0.28,85.3,1.05,1.64,-4.8
TN1,120.3,0.88,4.16,48.29,0.56,5.21,12.6,146.88,1.7,1.69,46.91,0.43,15.02,-71.92
TNA,130.88,0.52,0.63,78.16,2.57,0.28,-10.5,116.92,1.44,0.64,75.32,2.44,0.35,5.19
TNC,57.69,3.83,3.72,14.91,0.25,53.2,-33.65,42.12,2.07,4.85,12.2,0.18,55.95,-22.07
TNH,182.46,1.97,0.63,33.95,0.35,30.35,43.52,187.94,2.9,0.7,39.33,0.34,34.61,60.22
TNI,55.55,0.33,0.95,47.63,1.63,0.18,19.63,7.05,0.85,1.45,49.16,1.73,-0.85,-17.34
TNT,9.15,0.28,12.2,7.11,0.64,1.83,499.73,36.88,1.75,14.68,5.72,1.37,4.64,-339.06
TPC,27.13,0.45,0.65,47.64,1.49,1.45,-7.77,25.35,0.71,0.67,55.05,1.24,1.7,4.11
TRA,369.54,2.67,1.72,23.99,1.36,12.24,56.84,336.14,2.98,1.62,25.75,1.29,12.24,66.08
TRC,100.8,0.56,1.56,20.41,0.26,14.33,8.23,119.54,0.84,1.81,20.96,0.21,23.29,5.16
TSC,-31.91,0.26,6.62,8.61,0.36,-5.27,50.31,141.13,1.18,3.48,12.54,0.24,25.52,-11.17
TTA,430.6,0.78,0.51,58.01,0.17,27.59,11.61,350.06,1.37,0.37,62.98,0.14,20.17,10.89
TTB,15.71,0.39,1.34,46.86,0.83,0.2,-39.34,22.28,1.06,0.7,60.86,0.96,0.52,26.88
TTE,97.53,1.08,0.49,76.45,0.13,9.67,4.14,94.42,2,1,72.73,0.14,19.38,9.91
TTF,90.99,3.48,0.86,84.86,0.69,0.3,10.84,57.2,9.23,0.49,83.96,0.63,0.16,-10.61
TV2,99.12,1.09,1.26,54.28,0.35,5.8,-3.79,343.41,2.36,1.09,69.18,0.93,7.49,-8.83
TVB,34.67,0.34,0,9.86,0.1,11.3,163.09,389.01,2.16,0,24.22,0.31,68.79,-90.66
TVS,232.12,1.49,0,81.11,0.12,6.58,2.21,733.77,3.69,0,75.58,0.19,49.62,-9.64
TVT,106.87,0.79,0.77,66.04,1.22,2.77,11.83,141.85,0.94,0.83,54.74,0.98,5.95,15.25
TYA,71.21,0.77,1.07,53.05,1.84,1.53,20.33,97.32,1.17,0.83,59.77,2.02,3.15,-26.79
UDC,-12.92,0.53,0.4,63.69,0.13,-29.84,3.1,6.3,1.01,0.57,64.43,0.28,-7,9.34
UIC,66.76,0.84,1.26,25.83,5.46,2.03,66.71,70.07,1.46,1.17,25.55,5.17,2.23,50.93
VAF,47.44,0.7,1.2,22.43,1.43,4.15,-39.64,35.01,1.07,1.17,30.5,1.34,3.33,76.69
VCA,8.2,0.88,0.64,50.22,4.91,-0.25,75.17,52.33,1.04,0.48,58.46,5.86,1.39,-73.4
VCF,406.04,3.56,3.19,21.05,1.09,14.46,-45.82,553.63,4.93,1.87,35.11,1.09,19.33,86.69
VCG,1742.47,0.85,1.01,68.97,0.27,11.01,-8.01,1224.51,3.03,1.15,75.37,0.23,9.04,1.69
VCI,1537.1,1.56,0,54.39,0.2,27.53,48.3,2181.36,3.71,0,60.68,0.3,40.43,-37.15
VDP,112.71,0.98,1.25,42.51,0.94,7.22,-0.19,90.05,1.07,0.94,43.37,0.81,7.67,-7.71
VDS,-152.93,0.74,0,51.04,0.2,-13.97,-14.6,534.05,2.25,0,59.19,0.31,41.75,-41.21
VFG,297.31,1.28,0.83,58.67,1.28,7.7,-5.13,210.78,1.71,1.08,46.73,1.11,7.93,87.87
VGC,2556.58,1.68,0.46,60.43,0.65,13.11,17.89,1702.15,2.87,0.5,62.01,0.52,11.43,35.15
VHC,2417.69,1.66,1.33,33.54,1.3,15.22,30.87,1314.26,1.94,1.4,32.66,1.14,12.22,11.63
VHM,40718.21,1.41,0.7,58.95,0.21,46.74,14.54,50531.14,2.72,0.87,42.99,0.38,45.83,17.23
VIC,23746.05,1.51,0.59,76.41,0.2,1.95,0.02,13435.34,2.27,0.76,62.75,0.3,-6.01,-5.28
VID,75.07,0.42,0.75,51.75,1.17,3.52,-6.87,95.09,0.77,0.69,53.45,1,6.11,-3.56
VIP,318.85,0.45,6.38,11.28,0.6,28.04,113.5,45.48,0.71,3.61,26.39,0.44,1.54,41.14
VIX,414.25,0.48,0,3.5,0.18,26.27,-585.87,956.95,2.41,0,20.47,0.46,46.88,-188.35
VJC,-458.85,4.16,0.98,78.79,0.66,-5.52,5.19,985.16,4.12,1.68,67.37,0.27,0.62,-18.82
VMD,53.31,0.77,0.71,86.26,1.65,0.51,33.76,45.62,1.38,0.54,92.8,1.78,0.17,-11.93
VND,2494.08,1.13,0,62.66,0.18,17.87,-12.58,3393.93,3.63,0,73.52,0.23,39.46,-48.99
VNE,125.86,0.71,0.9,73.25,0.68,0.84,-5.91,49.53,1.24,0.64,70.61,0.72,0.47,11.83
VNG,130.55,0.85,1.26,60.75,0.25,0.5,7.55,72.45,1.21,1.03,51.33,0.08,1.71,-14.92
VNL,53.99,0.79,3.93,31.06,3.04,3.78,39.07,46.87,1.09,2.2,46.06,3.62,2.58,0.62
VNM,10661.57,4.85,1.7,32.31,1.18,14.31,56.35,13011.03,5.04,1.72,32.78,1.2,17.45,53.95
VNS,197.03,0.84,4.04,24.59,0.64,17.02,76.67,-258.43,0.63,2.74,23.25,0.27,-57.19,4.4
VOS,665.24,1.07,1.67,42.94,0.89,20.16,48.92,606.82,2.64,1.38,63.26,0.51,34.44,40.79
VPD,377.08,1.56,0.92,23.58,0.33,41.68,69.59,259.36,1.36,0.62,34.06,0.2,28.86,49.59
VPG,134.81,0.74,0.77,75.23,1.32,1.13,-11.18,562.49,2.75,0.97,61.69,1.96,10.9,18.75
VPH,69.84,0.37,0.63,54.49,0.08,12.86,6.75,144.59,1.22,1.25,47.91,0.14,28.69,-8.47
VPI,847.97,3.46,1.15,65.76,0.21,22.8,10.48,496.17,3.56,0.93,65.49,0.27,13.18,8.37
VPS,25.75,0.61,1.72,34.85,1.15,3.19,-35.46,21.86,1.14,1.73,29.63,1.13,2.66,39.99
VRE,3883.65,1.79,1.61,21.72,0.18,37.73,54.67,2178.45,2.23,2.16,19.07,0.15,22.32,23.61
VSC,478.02,1.15,2.95,26.69,0.53,19.58,40.51,482.69,0.8,5.28,8.27,0.66,21.87,238.51
VSH,1787.93,1.49,1.71,48.24,0.31,41,32.16,774.47,1.69,0.67,59.96,0.16,24.03,12.55
VSI,50.76,1.21,1.41,62.9,0.63,7.17,18.32,77.97,1.4,1.91,59.41,0.43,19.48,6.37
VTB,27.44,0.86,3.41,20.07,0.99,9.02,-4.29,9.2,0.69,1.67,26.54,1.14,2.33,109.59
VTO,120.67,0.51,2.57,31.98,0.68,6.21,32.14,188.21,0.89,1.84,34.65,0.53,13.67,38.72
YBM,26.2,0.46,0.67,57.49,0.99,2.18,10.13,30.47,0.75,0.89,58.88,1.15,2.99,13.52
YEG,44.9,0.31,1.91,27.05,0.24,9.87,-73.63,120.12,0.91,2.74,36.04,0.78,2.78,-17.87
