NAME,EBIT(t-1),PB(t-1),QR(t-1),DA(t-1),TATO(t-1),ROS(t-1),OCFTD(t-1),EBIT(t-2),PB(t-2),QR(t-2),DA(t-2),TATO(t-2),ROS(t-2),OCFTD(t-2),TARGET
BRC,29,0.9,1.2,32.15,1.12,6.32,14,27,0.6,1.1,29.59,0.98,7.27,-6.9,0
BTP,107,0.7,4.7,28.42,0.44,10.8,64.2,235,0.5,2.9,38.56,0.95,9.6,-22.86,0
BTP,157,0.8,2.3,33.21,0.64,10.47,-15.62,107,0.7,4.7,28.42,0.44,10.8,64.2,0
BTT,20,1.9,2.3,26.46,0.34,10.18,9.16,67,1.4,1.8,31.72,0.6,16.93,24.71,0
BTT,6,1.7,4.1,22.68,0.22,4.85,-0.95,20,1.9,2.3,26.46,0.34,10.18,9.16,0
BWE,752,1.8,0.9,58.65,0.37,17.69,23.78,684,1.9,0.8,64.57,0.41,18.7,11.55,0
BWE,1019,2,1,56.74,0.34,24.21,17.32,752,1.8,0.9,58.65,0.37,17.69,23.78,0
C32,118,0.7,1.1,43.65,0.65,13.01,14.08,107,0.6,1,42.86,0.9,9.48,16.41,0
C32,102,0.8,1.3,39.98,0.53,14.53,-3.34,118,0.7,1.1,43.65,0.65,13.01,14.08,0
C47,87,1,0.4,80.81,0.76,1.46,-1.3,79,0.6,0.4,84.95,0.47,0.45,0.98,0
C47,107,2.1,0.5,78.05,0.56,4.88,8.64,87,1,0.4,80.81,0.76,1.46,-1.3,0
CAV,610,2,0.7,68.64,1.89,3.71,5.58,706,1.8,0.7,60.59,2.23,5.47,-7.16,0
CAV,527,1.7,0.3,72.94,1.58,3.21,-12.45,610,2,0.7,68.64,1.89,3.71,5.58,0
CCI,38,1,11,60.17,0.42,10.34,3.84,37,0.9,11.7,60.49,0.56,7.79,3.11,0
CCI,41,1.4,15.5,59.36,0.43,11.04,11.74,38,1,11,60.17,0.42,10.34,3.84,0
CCL,108,0.8,1.4,49.82,0.78,7.95,-4.26,68,0.6,1.2,42.09,0.57,7.94,84.01,0
CCL,125,1.4,1.6,50.96,0.81,8.01,6.37,108,0.8,1.4,49.82,0.78,7.95,-4.26,0
CDC,39,1.7,1.1,69.69,0.39,8.7,2.25,48,0.8,1.3,66.39,0.56,7.17,24.07,0
CDC,49,1.4,1,75.84,0.6,4.03,-21.11,39,1.7,1.1,69.69,0.39,8.7,2.25,0
CEE,88,1.4,0.8,73.38,0.51,3.38,-12.85,23,1.9,0.7,78.5,0.36,-9.34,-9.76,0
CHP,428,1.3,1.2,46.39,0.24,33.45,30.69,355,1.5,0.8,51.14,0.2,30.25,29.99,0
CHP,370,1.6,1.2,42.13,0.24,30.75,22.55,428,1.3,1.2,46.39,0.24,33.45,30.69,0
CIG,-174,2.2,0.9,77.29,0.04,-673.08,0.75,2,0.4,0.8,63.1,0,0,9.72,1
CIG,18,10,0.4,75.71,0.04,56.67,-1.31,-174,2.2,0.9,77.29,0.04,-673.08,0.75,1
CII,1523,1.1,0.8,73.65,0.18,8.78,-6.41,1252,1,0.5,70.23,0.06,28.79,0.66,1
CII,1028,2.4,0.6,72.86,0.09,-8.46,-3.92,1523,1.1,0.8,73.65,0.18,8.78,-6.41,0
CKG,223,3.5,0.5,79.36,0.24,13.87,1.48,187,1.9,0.7,86.35,0.24,10.4,1.36,0
CLC,166,1,1.3,19.85,2.08,6.79,125.97,195,1.1,1,32.32,1.88,7.31,43.81,0
CLC,172,1.1,1,26.29,2.04,6.3,-5.07,166,1,1.3,19.85,2.08,6.79,125.97,0
CLL,116,1.6,5.2,8.36,0.55,25.65,266.1,115,1.2,4.2,9.6,0.5,25.71,159.7,0
CLL,98,1.7,11.1,4.42,0.39,32.2,343.33,116,1.6,5.2,8.36,0.55,25.65,266.1,0
CLW,37,1.4,0.9,54.07,2.39,2.38,32.71,38,1.1,0.8,47.49,2.55,2.44,18.09,0
CLW,38,1.7,1.1,50.87,2.52,2.43,12.88,37,1.4,0.9,54.07,2.39,2.38,32.71,0
CMG,363,2.7,1.4,54.03,0.97,4.81,16.26,330,1.8,1.6,52.1,1.07,4.35,7.52,0
CMG,437,2.8,1.3,56.8,0.97,5.35,16.06,363,2.7,1.4,54.03,0.97,4.81,16.26,0
CMV,40,1,0.4,67.33,6.97,0.43,11.27,43,1.4,0.4,75.17,6.45,0.38,-8.17,0
CMV,46,1,0.6,46.93,8.16,0.75,44.59,40,1,0.4,67.33,6.97,0.43,11.27,0
CMX,107,4.1,0.4,62.63,0.95,4.21,-1.39,127,5.1,0.4,75.77,0.67,8.2,-7.51,0
CMX,145,1.6,1,46.45,0.86,4.01,-31.73,107,4.1,0.4,62.63,0.95,4.21,-1.39,0
CNG,65,1,1.6,52.07,2.2,2.18,25.63,108,1,2.3,35.28,2.54,3.94,33.11,0
CNG,108,1.5,1.3,53.52,2.72,2.68,21.46,65,1,1.6,52.07,2.2,2.18,25.63,0
COM,46,1.4,2.4,11.22,5.81,1.28,162.5,64,1.5,1.5,13.79,8.16,1.21,-67.61,0
COM,50,1.2,2.6,11.78,4.97,1.5,46.03,46,1.4,2.4,11.22,5.81,1.28,162.5,0
CRC,13,1.6,0.7,71.41,0.93,0.86,46.76,12,2.1,0.9,57.04,1,1.23,-0.87,0
CRC,33,1,1.1,45.64,0.57,5.96,-40.27,13,1.6,0.7,71.41,0.93,0.86,46.76,0
CRE,382,2.2,1.6,46.37,0.56,14.17,-26.09,513,1.2,2.1,29.23,0.86,17,19.77,0
CRE,725,3.3,1.9,45.18,0.89,8.04,-13.27,382,2.2,1.6,46.37,0.56,14.17,-26.09,0
CSM,239,1.4,0.4,66.56,1.23,1.94,12.49,192,1.1,0.4,67.48,1.12,1.22,5.01,0
CSM,164,1.5,0.5,68.86,1.15,0.87,-9.36,239,1.4,0.4,66.56,1.23,1.94,12.49,0
CSV,239,1.2,2.2,22.71,1.03,13.44,98.31,326,0.9,2.1,26.01,1.24,16.03,-36.17,0
CSV,278,1.6,2,20.33,1.08,13.82,47.97,239,1.2,2.2,22.71,1.03,13.44,98.31,0
CTD,428,0.7,2,40.68,1.03,2.3,-9.85,891,0.4,1.7,47.71,1.47,3,-4.39,0
CTD,39,1,1.9,40.77,0.65,0.26,7.42,428,0.7,2,40.68,1.03,2.3,-9.85,0
CTF,52,2.7,0.8,66.24,3.57,0.02,11.57,104,2.7,0.7,65.55,4.11,0.69,-38.56,0
CTF,112,1.9,1,53.92,2.56,1.15,-15.79,52,2.7,0.8,66.24,3.57,0.02,11.57,0
CTI,295,0.7,0.7,70.23,0.2,11.04,9.49,298,0.8,0.4,67.82,0.18,10.54,3.32,1
CTI,187,1.2,0.7,73.61,0.16,-1.71,7.37,295,0.7,0.7,70.23,0.2,11.04,9.49,0
