NAME,EBIT(t-1),PB(t-1),QR(t-1),DA(t-1),TATO(t-1),ROS(t-1),OCFTD(t-1),EBIT(t-2),PB(t-2),QR(t-2),DA(t-2),TATO(t-2),ROS(t-2),OCFTD(t-2),TARGET
GVR,6637,2.5,1.8,35.94,0.26,24.04,-2.95,5316,0.8,1.8,35.56,0.25,19.35,13.43,0
GVR,6821,3,1.8,34.26,0.33,20.39,14.48,6637,2.5,1.8,35.94,0.26,24.04,-2.95,0
HAG,-1097,1,0.4,73.09,0.09,-75.01,-6.48,-742,0.5,0.3,65,0.06,-92,-11.63,1
HAG,841,2.7,1,74.65,0.11,6.1,-4.65,-1097,1,0.4,73.09,0.09,-75.01,-6.48,1
HAH,193,0.8,2,36.23,0.57,12.33,36.5,173,0.5,2.1,31.35,0.61,11.99,32.11,0
HAH,694,2.2,2,41.15,0.6,28.18,59.4,193,0.8,2,36.23,0.57,12.33,36.5,0
HAI,33,0.3,2.9,27.06,0.18,1.13,25.41,145,0.3,2.1,37.48,0.48,0.91,10.59,0
HAI,-643,1.1,2.1,35.06,0.27,-109.03,4.29,33,0.3,2.9,27.06,0.18,1.13,25.41,0
HAP,37,0.9,3.9,11.26,0.41,10.15,24.18,28,0.2,2.6,15.15,0.46,5.31,28.46,0
HAP,55,2.1,4.8,9.59,0.62,8.43,-20.78,37,0.9,3.9,11.26,0.41,10.15,24.18,0
HAR,17,0.5,1.6,17.92,0.13,1.26,28.32,20,0.4,14.2,7.65,0.14,4.29,52.87,0
HAR,58,1.3,2.7,14.67,0.03,83.72,-3.26,17,0.5,1.6,17.92,0.13,1.26,28.32,0
HAS,5,0.4,2.8,29.35,0.76,1.97,25.42,6,0.3,2.4,34.68,0.78,2.87,25.97,1
HAS,7,0.6,2.8,30.05,0.98,1.52,-14.75,5,0.4,2.8,29.35,0.76,1.97,25.42,1
HAX,199,1.3,0.5,56.57,4.52,2.24,60.55,122,1.2,0.5,71.51,3.16,0.99,6.6,0
HAX,220,2.5,0.6,44.4,4.35,2.88,59.26,199,1.3,0.5,56.57,4.52,2.24,60.55,0
HBC,431,1.1,1,73.33,0.72,0.75,-2.55,849,0.7,1,76.32,1.11,2.18,-5.53,0
HBC,448,2.1,1.1,75.53,0.69,0.85,4.5,431,1.1,1,73.33,0.72,0.75,-2.55,0
HCD,8,0.2,1.8,26.35,1.07,0.2,-1.64,26,0.2,2.1,24.95,1.56,2.81,24.56,0
HCD,60,1,1.5,32.31,1.32,6.42,2.79,8,0.2,1.8,26.35,1.07,0.2,-1.64,0
HCM,1430,2.8,1.4,69.94,0.18,25.72,-18.01,660,2.4,1.5,64.44,0.18,23.58,-57.54,0
HDC,327,2.3,0.3,65.73,0.25,27.53,12.65,201,1.6,0.7,53.02,0.33,17.7,6.28,0
HDC,433,5.6,0.6,60.71,0.36,23,-13.48,327,2.3,0.3,65.73,0.25,27.53,12.65,0
HDG,1902,2.1,0.6,71.34,0.36,25.09,14.4,1618,1.8,0.4,76.35,0.31,25.72,7.16,0
HDG,2030,3.1,0.6,66.08,0.24,35.58,10.07,1902,2.1,0.6,71.34,0.36,25.09,14.4,0
HHP,41,2,0.9,53.8,0.96,4.79,20.82,30,1.8,1,44.62,0.97,4.35,-22.35,0
HHP,61,2.2,1.3,44.86,1.13,4.68,-2.23,41,2,0.9,53.8,0.96,4.79,20.82,0
HHS,306,0.5,3.5,5.19,0.15,47.27,394.15,226,0.3,16,5.4,0.16,33.05,-48.98,0
HHS,249,0.9,1.9,7.57,0.12,45.74,-25.39,306,0.5,3.5,5.19,0.15,47.27,394.15,0
HHV,658,0.8,0.4,77.22,0.04,14.65,-0.05,405,0.6,0.7,76.73,0.02,32.49,0.99,0
HHV,884,1.2,0.4,77.4,0.05,15.64,0.62,658,0.8,0.4,77.22,0.04,14.65,-0.05,0
HID,-81,0.4,2.3,56.08,0.24,-32.76,58.71,19,0.2,1.2,54.86,0.18,4.9,1.27,0
HID,121,1.6,2,48.4,0.2,29.45,-13.26,-81,0.4,2.3,56.08,0.24,-32.76,58.71,0
HII,98,1.8,0.9,62.55,2.67,1.3,-19.02,120,0.6,0.9,67.94,2.65,1.17,-0.76,0
HII,156,2.3,0.9,70.82,3.72,1.26,-5.46,98,1.8,0.9,62.55,2.67,1.3,-19.02,0
HMC,94,0.6,0.6,57.45,4.07,1.85,2.92,48,0.6,0.6,62.89,4.71,0.24,41.5,0
HMC,189,0.9,0.4,61.57,3.04,3.71,2.32,94,0.6,0.6,57.45,4.07,1.85,2.92,0
HNG,604,1.9,0.4,64.82,0.1,0.88,-0.16,-1804,1.6,0.2,58.17,0.08,-134.95,-13.53,1
HNG,-995,2.3,0.3,57.22,0.09,-93.33,-19.78,604,1.9,0.4,64.82,0.1,0.88,-0.16,1
HOT,-25,3.6,2.4,12.36,0.43,-65.79,-254.55,16,3.4,2.4,20,1.26,7.1,93.1,1
HOT,-21,5.1,0.7,25,0.34,-80.77,-42.11,-25,3.6,2.4,12.36,0.43,-65.79,-254.55,1
HPG,17549,2.3,0.6,54.97,0.69,14.99,16.03,10034,1.3,0.4,53.05,0.63,11.9,14.29,0
HPG,39583,2.3,0.7,49.07,0.84,23.06,30.55,17549,2.3,0.6,54.97,0.69,14.99,16.03,0
HPX,340,2.3,1.1,50.93,0.18,7.37,-19.56,747,1.8,0.8,56.18,0.5,13.2,36.07,0
HPX,635,3,0.8,63.18,0.15,20.18,-49.26,340,2.3,1.1,50.93,0.18,7.37,-19.56,0
HQC,53,0.2,1.1,37.79,0.08,1.86,6.45,105,0.1,1.8,35.54,0.1,6.25,0.59,0
HQC,41,1,0.8,53.46,0.03,1.43,45.59,53,0.2,1.1,37.79,0.08,1.86,6.45,0
HRC,27,2.9,0.8,49.48,0.18,4.76,0.95,22,2.1,0.7,49.39,0.15,4.97,41.49,0
HRC,38,2.9,0.3,35.02,0.22,11.89,-78.11,27,2.9,0.8,49.48,0.18,4.76,0.95,0
HSG,2340,1.7,0.5,59.17,1.73,5.13,22.6,1305,0.6,0.3,66.26,1.62,1.81,30.88,0
HSG,5319,1.7,0.5,50.77,2.47,7.74,18.1,2340,1.7,0.5,59.17,1.73,5.13,22.6,0
HSL,18,1.2,2.4,19.88,0.93,5.25,-3.08,12,0.8,7.9,5.38,0.93,4.94,192.86,0
HT1,949,1.2,0.3,46.29,0.79,7.64,26.87,1166,1,0.3,47.86,0.86,8.38,24.55,0
HT1,562,1.6,0.2,41.26,0.8,5.22,20.22,949,1.2,0.3,46.29,0.79,7.64,26.87,0
HTI,177,0.7,1.4,72.68,0.23,16.27,11.04,134,0.5,1.3,73.85,0.22,18.47,13.12,0
HTI,134,0.9,0.2,70.31,0.21,10.78,7.86,177,0.7,1.4,72.68,0.23,16.27,11.04,0
HTL,29,1,0.7,48.33,2.17,2.94,41.38,30,0.9,0.5,48.95,2.17,2.55,38.71,0
HTL,36,1.2,0.9,40.24,2.68,2.98,40.44,29,1,0.7,48.33,2.17,2.94,31.61,0
HTN,567,1.7,0.8,81.69,0.82,7.84,-10.09,313,1.7,0.7,85.93,0.71,5.08,-5.09,0
HTN,476,2.5,1,80.22,0.8,3.91,-3.53,567,1.7,0.8,81.69,0.82,7.84,-10.09,0
HTV,33,0.5,4,19.14,0.67,9.57,22.5,37,0.5,3.4,21.31,0.64,10.66,32.97,0
HTV,22,0.5,3.9,21.04,0.7,6.04,53.93,33,0.5,4,19.14,0.67,9.57,22.5,0
HU1,12,0.6,0.6,83.51,0.43,1.26,15,15,0.5,0.8,84.11,0.55,1.39,16.74,1
HU1,10,1,1,77.53,1.2,-0.5,5.84,12,0.6,0.6,83.51,0.43,1.26,15,0
HU3,6,0.5,1,42.75,0.45,0.84,31.25,31,0.4,0.8,58.29,1.23,3.57,-14.67,1
HU3,2,0.6,1,57.06,0.45,0.65,-19.19,6,0.5,1,42.75,0.45,0.84,31.25,0
HUB,81,1.1,1.3,39.79,0.6,15.79,13.91,83,0.7,1.3,43.03,0.64,15.32,3.17,0
HUB,75,1.5,1.2,39.14,0.56,14.16,30.97,81,1.1,1.3,39.79,0.6,15.79,13.91,0
HVH,30,1.2,1.2,32.41,0.86,5.93,9.87,58,1.6,3,22.57,1.38,8.75,79.07,0
HVH,15,1.1,1.2,35.79,0.43,3.57,-30.74,30,1.2,1.2,32.41,0.86,5.93,9.87,0
HVN,-10034,7.8,0.2,90.29,0.65,-27.57,-11.43,4844,3.3,0.5,75.66,1.28,2.58,15.25,1
HVN,-12158,34,0.2,99.17,0.44,-47.58,-10.81,-10034,7.8,0.2,90.29,0.65,-27.57,-11.43,0
HVX,20,0.3,0.1,44.43,0.81,0.63,11.68,32,0.3,0.2,49.54,1.01,0.57,20.61,0
HVX,11,0.8,0.1,43.6,0.88,0.15,7.78,20,0.3,0.1,44.43,0.81,0.63,11.68,0
IBC,162,2.3,0.8,67.93,0.59,3.84,-25.67,145,2.2,0.5,67.84,0.57,4.19,27.25,0
IBC,307,1.9,1.4,66.44,0.37,5.54,9.17,162,2.3,0.8,67.93,0.59,3.84,-25.67,0
ICT,100,0.8,1.1,66.14,1,2.82,24.73,117,1.1,1,67.7,0.73,4.3,9.71,0
IDI,398,0.6,0.9,61.12,0.83,1.68,-0.66,498,0.4,0.9,61.41,1.03,4.22,-3.39,0
IDI,407,1.1,1,58.39,0.76,2.5,5.78,398,0.6,0.9,61.12,0.83,1.68,-0.66,0
IJC,525,2.4,0.3,68.83,0.32,17.28,12.25,401,1.6,0.2,75.73,0.21,17.75,18.86,0
IJC,886,2,0.4,50.89,0.38,23.87,-27.82,525,2.4,0.3,68.83,0.32,17.28,12.25,0
ILB,121,1.8,1.1,66.71,0.37,14.53,18.29,119,1.5,0.8,69.28,0.32,15.13,19.36,0
IMP,260,2.1,1.6,17.46,0.65,15.34,19.95,206,1.5,1.6,15.59,0.76,11.55,23.26,0
IMP,244,2.8,1.7,21.79,0.55,14.92,47,260,2.1,1.6,17.46,0.65,15.34,19.95,0
ITA,273,0.6,1.1,20.19,0.05,27.58,6.13,292,0.3,1,20.35,0.1,15.76,18.1,0
ITA,343,1.4,1.1,16.91,0.07,28.43,21.92,273,0.6,1.1,20.19,0.05,27.58,6.13,0
ITC,211,0.7,0.3,55.96,0.21,14.75,3.65,123,0.7,0.3,56.13,0.11,25.28,0.91,0
ITC,234,1.1,0.3,51.36,0.17,19.36,8,211,0.7,0.3,55.96,0.21,14.75,3.65,0
ITD,58,0.7,1.4,46.2,0.87,9.45,5.71,27,0.6,1.7,39.45,0.79,4.46,-4.95,1
ITD,36,1.2,1.7,43.8,0.7,6.12,-3.77,58,0.7,1.4,46.2,0.87,9.45,5.71,0
JVC,-62,1.4,1.7,27.02,0.63,-15.09,56.5,11,0.7,1.8,24.58,0.73,2.29,1.14,1
JVC,-22,2.5,1.6,30.4,0.6,-6.67,-43.65,-62,1.4,1.7,27.02,0.63,-15.09,56.5,1
KBC,648,1.4,1.4,55.21,0.09,14.88,-22.18,1560,0.9,1.6,36.83,0.2,32.43,25.43,0
KBC,1845,2.5,2.2,47.16,0.14,22.47,-8.54,648,1.4,1.4,55.21,0.09,14.88,-22.18,0
KDC,540,1.6,1.1,37.65,0.67,3.96,2.09,437,0.8,1.5,31.65,0.6,2.87,7.92,0
KDC,866,2,0.8,51.01,0.75,6.22,-0.29,540,1.6,1.1,37.65,0.67,3.96,2.09,0
KDH,1458,2.1,1.4,41.45,0.33,25.46,2.82,1192,1.9,1.2,42.1,0.21,32.6,-2.94,0
KDH,1556,3.3,2.5,28.88,0.26,32.24,-48.42,1458,2.1,1.4,41.45,0.33,25.46,2.82,0
KHP,125,0.6,1,67.32,2.25,0.98,17.94,124,0.6,0.8,67.67,2.7,0.95,3.12,0
KHP,114,1.8,1.1,68.27,2.03,1.1,10.51,125,0.6,1,67.32,2.25,0.98,17.94,0
KMR,18,0.3,0.4,45.7,0.38,0,10.1,22,0.3,0.4,39.7,0.55,0.73,5.32,0
KMR,36,0.9,0.4,42.51,0.46,3.64,1.75,18,0.3,0.4,45.7,0.38,0,10.1,0
KOS,62,4.5,1.1,47.32,0.6,1.68,-33.37,39,3.8,1.9,40.44,0.56,1.88,-25.65,0
KOS,56,3.1,1.4,41.57,0.29,2.08,-17.82,62,4.5,1.1,47.32,0.6,1.68,-33.37,0
KPF,31,3.7,0.4,80.45,0.03,65,-7.85,39,4.4,0.3,72.38,0.4,9.06,-27.21,0
KPF,88,1.5,62.7,29.41,0.05,140.74,260.63,31,3.7,0.4,80.45,0.03,65,-7.85,0
KSB,501,1.4,1.7,59.64,0.34,24.81,19.52,491,0.7,1.4,67.44,0.33,25.11,23.18,0
KSB,396,1.9,1.7,55.13,0.22,28.62,2,501,1.4,1.7,59.64,0.34,24.81,19.52,0
L10,30,0.7,1.1,76.01,1.15,1.5,-9.09,38,0.5,1,79.41,1.12,1.35,35.87,0
L10,29,1.1,1,80.11,0.85,1.4,22.75,30,0.7,1.1,76.01,1.15,1.5,-9.09,0
LAF,27,1,1.2,41.53,1.29,5.93,64.62,23,1.1,0.6,23.56,2.25,3.84,0,0
LAF,47,1.8,0.9,29.64,1.48,9.64,2.41,27,1,1.2,41.53,1.29,5.93,64.62,0
LBM,84,1,2,16.19,1.34,11.26,147.95,77,0.8,1.8,15,1.47,10.36,130,0
LBM,101,1.9,1.4,20.04,1.45,10.41,151.38,84,1,2,16.19,1.34,11.26,147.95,0
LCG,478,1.1,1,69.9,0.58,8.82,11.32,335,0.7,0.8,66.35,0.54,7.65,-1.47,0
LCG,333,1.6,1.1,58.85,0.31,10.04,9.34,478,1.1,1,69.9,0.58,8.82,11.32,0
LCM,2,1.3,1.5,8.8,0.04,20,22.73,-1,0.1,4.2,9.2,0.12,-3.23,60.87,0
LDG,44,0.6,1.2,43.87,0.25,0.94,-4,759,0.7,0.9,46.6,0.13,76.82,-64.95,0
LDG,230,1.6,1.5,52.58,0.05,43.93,-26.58,44,0.6,1.2,43.87,0.25,0.94,-4,0
LEC,25,1.1,1,63.29,0.59,0.18,-7.76,22,1.3,1,68.09,0.45,0,-2.72,0
LEC,32,1.1,1.1,59.39,0.54,0.56,-3.93,25,1.1,1,63.29,0.59,0.18,-7.76,0
LGC,698,4.3,0.8,62.67,0.06,71.77,2.43,551,2.5,0.4,65.35,0.06,76.44,2.3,0
LGC,486,2.8,0.8,61.5,0.07,34.22,4.61,698,4.3,0.8,62.67,0.06,71.77,2.43,0
LGL,61,0.5,0.8,58.35,0.09,2.34,14.88,166,0.7,0.7,57.13,0.72,5.37,44.23,0
LGL,64,1.1,0.8,56.07,0.07,4,2.1,61,0.5,0.8,58.35,0.09,2.34,14.88,0
LHG,262,1.2,1.3,50.62,0.25,30.9,16.79,184,0.6,1.4,46.71,0.27,23.87,1.44,0
LHG,391,1.7,1.7,48.54,0.27,37.85,34.11,262,1.2,1.3,50.62,0.25,30.9,16.79,0
LIX,296,2.5,0.7,37.33,2.85,7.93,33.68,229,2.3,1.2,38.13,2.82,7.09,48.54,0
LIX,215,2,0.9,35.87,2.24,6.39,50.84,296,2.5,0.7,37.33,2.85,7.93,33.68,0
LM8,70,0.3,0.5,81.55,0.86,0.44,14.31,93,0.6,0.5,84.8,0.91,0.8,-6.28,0
LM8,65,0.5,0.6,78.02,1.06,0.98,7.74,70,0.3,0.5,81.55,0.86,0.44,14.31,0
LSS,38,0.4,0.6,35.05,0.62,1.03,24.66,63,0.2,0.6,32.54,0.77,1.22,51.39,0
MCG,4,0.5,0.7,75.1,0.13,-0.8,0.54,19,0.4,0.6,73.16,0.07,3.36,3.46,1
MCG,-36,2.9,0.9,70.81,0.27,-21.26,3.07,4,0.5,0.7,75.1,0.13,-0.8,0.54,0
MCP,35,1.6,1.3,42.63,1.84,2.76,-2.52,2,1,1.5,35,0.9,0.37,43.81,0
MCP,32,1.9,1.2,33.23,1.29,5.34,-0.9,35,1.6,1.3,42.63,1.84,2.76,-2.52,0
MDG,14,0.7,1.1,57.02,0.78,3.32,14.57,19,0.8,1.1,60.95,1.14,2.77,-18.61,0
MDG,24,0.9,1.2,57.07,0.57,7.58,1.9,14,0.7,1.1,57.02,0.78,3.32,14.57,0
MHC,34,0.6,9.6,40.28,0.03,-4.35,2.57,36,0.2,3.1,31.21,0.04,27.27,36.6,0
MHC,102,1,4.3,61.42,0.02,204.17,-1.55,34,0.6,9.6,40.28,0.03,-4.35,2.57,0
MSH,298,1.3,1.2,45.13,1.45,6.08,14.59,570,1.8,1,51.83,1.72,10.2,46.62,0
MSH,553,2.6,1,53.29,1.48,9.31,11.72,298,1.3,1.2,45.13,1.45,6.08,14.59,0
MSN,6095,6.5,0.4,78.37,0.67,1.81,1.49,8971,1.5,0.5,46.67,0.38,17.04,11.24,0
MSN,16158,6.1,0.9,66.42,0.7,11.4,1.37,6095,6.5,0.4,78.37,0.67,1.81,1.49,0
MWG,6004,3.7,0.6,66.37,2.36,3.61,35.33,5621,4.4,0.3,70.89,2.45,3.75,-4.35,0
MWG,7146,4.9,0.5,67.64,1.95,3.99,0.4,6004,3.7,0.6,66.37,2.36,3.61,35.33,0
NAF,107,1.6,1.3,51.01,0.78,5.07,4.99,84,2.4,1.4,46.38,0.82,4.61,-48.98,0
NAF,122,1.5,1.3,49.46,0.98,4.83,13.2,107,1.6,1.3,51.01,0.78,5.07,4.99,0
NAV,27,1.1,1.9,38.12,0.39,35.21,-10.14,14,0.9,1.5,43.32,0.56,13.33,19.75,0
NAV,20,1.6,2,43.65,0.34,29.51,-30.38,27,1.1,1.9,38.12,0.39,35.21,-10.14,0
NBB,462,1.3,0.6,56.81,0.86,9.34,13.17,433,0.8,0.4,61.87,0.06,104.83,6.76,0
NBB,520,2.5,0.4,58.14,0.13,55.4,-4.05,462,1.3,0.6,56.81,0.86,9.34,13.17,0
NCT,257,3.8,3.8,18.53,1.33,30.94,273.12,276,2.8,5.5,12.14,1.19,31.47,260.56,0
NCT,281,4.2,4.4,17.51,1.34,30.19,226.8,257,3.8,3.8,18.53,1.33,30.94,273.12,0
NHA,42,1.9,2.3,11.01,0.51,22.22,-77.14,86,0.5,5.1,8.55,0.63,40,239.13,0
NHA,3,8,0.5,43.87,0.24,1.64,-19.37,42,1.9,2.3,11.01,0.51,22.22,-77.14,0
NHH,160,5,0.6,62.46,0.63,10.53,19.47,87,3.2,0.8,57.25,1.07,4.62,-18.21,0
NHH,139,3.5,0.6,65.47,1.1,3.45,-6.6,160,5,0.6,62.46,0.63,10.53,19.47,0
NHT,95,3.3,0.4,59,1,8.24,5.76,52,3.3,0.6,62.15,0.57,19.64,9.47,0
NHT,77,2.4,0.3,56.4,1.07,5.81,12.07,95,3.3,0.4,59,1,8.24,5.76,0
NKG,543,0.8,0.5,59.02,1.49,2.55,0.35,327,0.4,0.4,62.6,1.51,0.39,23.4,0
NKG,2806,1.4,0.4,62.83,1.83,7.9,-3.18,543,0.8,0.5,59.02,1.49,2.55,0.35,0
NLG,1068,1.8,0.8,50.74,0.16,38.34,-16.05,1246,1.8,1.2,43.14,0.23,39.55,6.91,0
NLG,1742,2.7,1,42.72,0.22,28.39,12.84,1068,1.8,0.8,50.74,0.16,38.34,-16.05,0
NNC,137,2.9,1.5,25,1.06,27.61,120,152,3.1,1.6,24.29,1.33,23.84,98.94,0
NNC,45,2,2.4,14.97,0.45,24.53,124.53,137,2.9,1.5,25,1.06,27.61,120,0
NSC,226,1.1,1,33.3,0.91,11.93,29,250,1.4,1,36.14,0.86,13.64,36.31,0
NSC,263,1.1,1,32.45,1,11.72,21.21,226,1.1,1,33.3,0.91,11.93,29,0
NT2,701,1.4,0.8,32.66,0.95,10.28,58.64,885,1.2,0.7,45.44,1.01,9.85,55.78,0
NT2,586,1.6,0.9,36.08,0.93,8.68,44.94,701,1.4,0.8,32.66,0.95,10.28,58.64,0
NTL,371,1.1,0.9,35.69,0.36,45.18,52.01,302,1.1,0.8,34.2,0.51,28.02,31.17,0
NTL,302,1.9,1.1,34.52,0.31,41.25,50.62,371,1.1,0.9,35.69,0.36,45.18,52.01,0
NVL,5215,2.8,0.9,77.91,0.03,77.74,-3.1,5418,3.8,0.7,72.81,0.12,30.99,4.69,0
NVL,5600,5.1,0.9,79.6,0.07,23.18,2.39,5215,2.8,0.9,77.91,0.03,77.74,-3.1,0
NVT,30,1.7,2.1,24.49,0.39,9,32.06,70,2,1.5,33.6,0.44,19.42,32.38,1
NVT,-47,5,1.1,50,0.12,-48.82,4.79,30,1.7,2.1,24.49,0.39,9,32.06,1
OGC,-262,8.4,1.3,65.43,0.14,-68.46,-5.73,245,5.1,1.2,67.15,0.24,22.68,1.66,0
OPC,138,2.3,0.6,38.33,0.84,10.66,28.05,139,1.8,0.6,41.69,0.84,10.21,11.38,0
OPC,164,2.2,0.7,39.98,0.91,10.94,38.59,138,2.3,0.6,38.33,0.84,10.66,28.05,0
ORS,450,2.4,8,54.41,0.28,15.68,-124.34,145,1.6,9.1,56.3,0.18,22.82,-56.06,0
PAC,251,1.7,0.6,69.58,1.23,5.04,13.47,271,1.6,0.6,73.06,1.24,5.42,10.47,0
PAC,268,1.8,0.7,65,1.23,5.71,15.01,251,1.7,0.6,69.58,1.23,5.04,13.47,0
PAN,663,1.9,1.3,45.55,0.73,4,-4.34,687,1.2,1.4,42.91,0.73,5.79,-0.09,0
PAN,780,1.9,1.3,49.55,0.62,5.52,-19.17,663,1.9,1.3,45.55,0.73,4,-4.34,0
PC1,894,1.3,1.3,55.51,0.62,8.14,10.64,604,0.8,1.1,55.56,0.7,6.43,-7.23,0
PC1,1211,2,1,66.39,0.53,7.77,0.75,894,1.3,1.3,55.51,0.62,8.14,10.64,0
PDN,193,2,1.4,36.12,0.78,20.03,50.68,172,2.1,1.4,39.89,0.79,18.46,53.35,0
PDN,214,2.3,1.3,36.51,0.78,18.03,54.2,193,2,1.4,36.12,0.78,20.03,50.68,0
PDR,1563,4,0.4,66.74,0.25,31.19,42.07,1105,2,0.8,68.71,0.24,25.71,-10.61,0
PDR,2501,6.7,0.4,60.37,0.18,51.41,6.42,1563,4,0.4,66.74,0.25,31.19,42.07,0
PET,283,0.9,1,73.69,2.13,1.04,-0.88,253,0.4,0.9,66.98,2.02,1.27,9.38,0
PET,496,1.8,0.9,77.16,2.07,1.77,-2.29,283,0.9,1,73.69,2.13,1.04,-0.88,0
PGC,189,1.5,1.1,59.02,1.48,4.42,17.16,240,0.9,1.1,56.51,1.59,4.89,20.46,0
PGC,192,1.5,1.1,64.21,1.39,3.75,5.26,189,1.5,1.1,59.02,1.48,4.42,17.16,0
PGD,255,1.7,1.3,59.4,2.3,2.7,27.53,296,3,1.4,53.9,2.7,2.93,33.15,0
PGD,323,2,1.5,58.63,2.69,2.82,-1.28,255,1.7,1.3,59.4,2.3,2.7,27.53,0
PGV,4164,1.2,1.4,79.47,0.55,4.5,1.91,3908,0.8,1.4,83.5,0.59,2.05,3.17,0
PGV,5134,2.4,1.5,74.38,0.56,8.42,2.56,4164,1.2,1.4,79.47,0.55,4.5,1.91,0
PHC,63,1.4,0.8,80.31,0.76,0.65,17.66,160,1.1,0.8,80.89,1.55,2.04,15.18,0
PHC,113,1.2,0.8,71.74,0.38,5.88,-13.47,63,1.4,0.8,80.31,0.76,0.65,17.66,0
PHR,1432,2.5,2.5,49.37,0.25,68.93,24.29,637,2,1.6,55.56,0.28,29.77,19.7,0
PHR,617,3,2,48.42,0.32,26.38,8.74,1432,2.5,2.5,49.37,0.25,68.93,24.29,0
PIT,15,0.6,0.6,63.96,1.65,0.36,-17.84,27,0.5,0.7,59.93,3.07,0.77,38.2,1
PIT,7,1.2,0.7,64.85,2.65,-0.69,4.67,15,0.6,0.6,63.96,1.65,0.36,-17.84,1
PJT,55,0.9,0.3,54.82,1.22,4.46,25.27,58,0.9,0.3,59.67,1.23,5.01,27.27,0
PJT,47,0.8,0.4,43.53,1.18,3.51,29.31,55,0.9,0.3,54.82,1.22,4.46,25.27,0
PLP,96,1.3,0.7,65.42,1.39,2.24,-12.17,80,0.6,0.6,59.08,1.05,4.76,-16.55,0
PLP,203,2,0.6,71.19,0.92,5.06,-14.49,96,1.3,0.7,65.42,1.39,2.24,-12.17,0
PLX,2116,3.2,0.8,60.52,2.03,1.01,14.46,6439,2.8,0.8,58.03,3.07,2.47,11.67,0
PLX,4392,2.6,0.8,56.38,2.61,1.85,-1.8,2116,3.2,0.8,60.52,2.03,1.01,14.46,0
PMG,86,1.5,0.6,46.94,0.82,0.57,4.72,128,1.6,0.5,62.04,0.92,4.56,-5.43,1
PMG,-72,2.2,0.6,62.24,0.9,-6.89,-0.46,86,1.5,0.6,46.94,0.82,0.57,4.72,1
PNC,6,0.6,0.6,67,1.13,1.05,15.04,16,0.9,0.5,63.56,1.46,2.07,18.09,1
PNC,-15,1,0.6,70.25,0.82,-3.6,0.56,6,0.6,0.6,67,1.13,1.05,15.04,0
PNJ,1500,4.9,0.2,38.21,2.06,6.1,46.19,1622,4.1,0.1,46.8,1.98,7.02,-16.42,0
PNJ,1383,3.8,0.1,43.38,1.84,5.26,-15.68,1500,4.9,0.2,38.21,2.06,6.1,46.19,0
POM,433,1,0.6,68.59,0.88,0.16,12.75,53,0.4,0.6,70.38,1.02,-2.58,-2.35,0
POM,611,1.1,0.4,75.36,0.93,1.31,-4.08,433,1,0.6,68.59,0.88,0.16,12.75,0
POW,3684,1.1,0.9,42.15,0.55,8.96,34.71,4319,1,0.9,47.02,0.64,8.07,20.33,0
POW,2849,1.4,1,41.25,0.46,8.35,23.55,3684,1.1,0.9,42.15,0.55,8.96,34.71,0
PPC,1214,0.9,4.8,10.37,1.1,12.75,120.53,1542,1.1,2.8,17.79,1.13,15.41,20.68,0
PPC,177,1.5,3.3,10.9,0.71,5.58,89.39,1214,0.9,4.8,10.37,1.1,12.75,120.53,0
PSH,585,1.5,0.2,81.04,0.58,5.56,-0.45,232,1.3,0.1,83.5,0.64,0.46,-7.43,0
PTB,551,1.4,0.5,58.29,1.17,6.77,29.82,642,1.7,0.5,57.36,1.28,8.24,8.98,0
PTB,749,2,0.5,55.97,1.2,8.1,5.26,551,1.4,0.5,58.29,1.17,6.77,29.82,0
PTC,69,0.6,3.6,10.58,0,-5800,-90.91,89,0.4,2.8,13.82,0.03,620,683.33,1
PTL,2,0.9,1.8,36.21,0.04,4,-13.7,0,0.6,2,35.37,0.04,0,4.75,1
PTL,28,2.2,2,36.85,0.08,29.17,10.14,2,0.9,1.8,36.21,0.04,4,-13.7,1
PVD,323,0.5,1.5,32.67,0.25,3.52,2.41,347,0.5,1.7,33.14,0.21,3.94,-1.11,0
PVD,171,0.9,1.5,33.38,0.19,0.93,-5.43,323,0.5,1.5,32.67,0.25,3.52,2.41,0
PVT,1182,0.9,1.9,43.38,0.67,11.24,31.93,1185,1,1.5,48.25,0.71,10.58,22.22,0
PVT,1183,1.5,1.9,44.26,0.6,11.19,14.99,1182,0.9,1.9,43.38,0.67,11.24,31.93,0
PXI,-29,1.4,1.1,47.96,-0.05,157.89,4.55,-48,0.4,1.3,48.72,0.02,-625,10,1
PXS,13,1.3,0.3,74.15,0.86,0.26,-3.89,-246,1,0.4,71.33,0.34,-66.42,0,1
PXS,10,2,0.4,70.41,0.93,0.09,7.72,13,1.3,0.3,74.15,0.86,0.26,-3.89,0
QBS,-57,0.3,1.4,49.39,0.98,-8.14,6.29,-124,0.3,1.1,53.68,0.92,-12.16,9.39,0
QBS,50,0.9,1.6,51.07,1.21,0,-15.81,-57,0.3,1.4,49.39,0.98,-8.14,6.29,0
QCG,148,0.6,0.1,58.98,0.18,4.44,-0.71,145,0.3,0.1,62.5,0.08,6.76,-3.87,0
QCG,124,1.1,0.1,56.13,0.11,6.67,0.85,148,0.6,0.1,58.98,0.18,4.44,-0.71,0
